time,SAM
1962-02-01,0.5076277638933614
1962-03-01,0.5855527405658073
1962-04-01,1.2950554744931178
1962-05-01,0.7637650878057007
1962-06-01,-0.40218594153262455
1962-07-01,1.285277097151373
1962-08-01,0.40957754453752226
1962-09-01,1.203871280434662
1962-10-01,0.016376715065244407
1962-11-01,-0.09351669659758627
1962-12-01,1.0176458919718314
1963-01-01,1.2683211169947777
1963-02-01,1.2641632644741634
1963-03-01,0.5268218710879474
1963-04-01,-0.3097548365355239
1963-05-01,0.022278521354380243
1963-06-01,-0.1401826188103915
1963-07-01,-0.41844332755347835
1963-08-01,-2.2692848310571314
1963-09-01,-0.030838922469486996
1963-10-01,0.5491414821410784
1963-11-01,0.23130325304172197
1963-12-01,0.3626036297628157
1964-01-01,-0.705598647666943
