,DMI
1934-10-01,-0.04267272863241711
1934-11-01,0.39282765170550527
1934-12-01,0.10281359730290214
1935-01-01,0.05366545080572044
1935-02-01,0.2735388227544123
1935-03-01,0.5865542577503097
1935-04-01,0.021284742724021366
1935-05-01,1.4727271816971381
1935-06-01,1.2184809565750718
1935-07-01,1.1138015448458902
1935-08-01,1.3151337832628909
1935-09-01,1.281723230964459
1935-10-01,0.8440749248759478
1935-11-01,1.5215661442219846
1935-12-01,1.5514028438522525
1936-01-01,1.3185009063201043
1936-02-01,0.11256406821600393
1936-03-01,0.638421362851051
1936-04-01,0.8536249597572343
1936-05-01,0.8195684709922987
1936-06-01,1.1102766016520649
1936-07-01,0.6153653608569668
1936-08-01,0.44102590864438485
1936-09-01,-0.36463642521797307
1936-10-01,-0.08308025783535339
1936-11-01,0.561955092193597
1936-12-01,-0.03623462465864931
1937-01-01,0.28675279360441397
1937-02-01,-0.21064574388852866
1937-03-01,0.31628736900365434
1937-04-01,-0.04136799247633438
1937-05-01,0.7300054597404401
1937-06-01,0.1551651659154376
1937-07-01,-0.2451266710996003
1937-08-01,0.26505021194145056
1937-09-01,0.4092640633067857
1937-10-01,0.08793835768909092
1937-11-01,-0.02485397871930059
1937-12-01,-0.10142042646883553
1938-01-01,-0.15387062859571024
1938-02-01,-0.3714678596203727
1938-03-01,-0.004011803717859863
1938-04-01,-0.32941030548050954
1938-05-01,0.30253878222342967
1938-06-01,-0.009270393217208905
1938-07-01,-0.6082629664025834
1938-08-01,-0.8510834468345554
1938-09-01,-0.6963617055488344
1938-10-01,-1.0459872186443573
1938-11-01,-0.3023529769965506
1938-12-01,-0.6496798331893159
1939-01-01,-0.009427520408840762
1939-02-01,0.4219272113906838
1939-03-01,0.5126069842316588
1939-04-01,-0.41711126812230903
1939-05-01,-0.15326551426297463
1939-06-01,0.6300319723563843
1939-07-01,0.5678413771040697
1939-08-01,-0.02961692424650253
1939-09-01,-0.23834825425244593
1939-10-01,0.41637851157285083
1939-11-01,0.4561226150296576
1939-12-01,0.6104037667988221
1940-01-01,0.4828752486845789
1940-02-01,0.9567228029366088
1940-03-01,-1.3580927127916573
1940-04-01,-1.6284592633676782
1940-05-01,-1.118102328482594
1940-06-01,0.6375018208747912
1940-07-01,0.9221842660139461
1940-08-01,-0.05566225198206576
1940-09-01,1.0053403127645655
1940-10-01,0.3988626206236058
1940-11-01,-0.2564978725257245
1940-12-01,-0.05508169249260553
1941-01-01,-0.9464540380070254
1941-02-01,-0.5537452652305849
1941-03-01,1.2446544730585556
1941-04-01,0.5162585789322576
1941-05-01,0.6374001364459585
1941-06-01,0.489881973761619
1941-07-01,1.0677751682415826
1941-08-01,0.9361862396810492
1941-09-01,0.4285383010104493
1941-10-01,0.2515075150557031
1941-11-01,-0.26618416957596813
1941-12-01,-0.3481039795366019
1942-01-01,-0.944915053831323
1942-02-01,-0.7254456900071558
1942-03-01,-0.362931091730448
1942-04-01,-0.5753193222017765
1942-05-01,-1.5063688463245266
1942-06-01,-1.654803285999328
1942-07-01,-1.8467889067045666
1942-08-01,-0.4435503890850271
1942-09-01,-0.5110596580283415
1942-10-01,-1.0193338570367036
1942-11-01,1.1109794728701703
1942-12-01,-0.8380045628855304
1943-01-01,-0.4623481130536509
1943-02-01,-1.3627032201208482
1943-03-01,-1.999074384069241
1943-04-01,-0.921982006826269
1943-05-01,-0.041823338756436956
1943-06-01,0.6033061738361427
1943-07-01,-0.27601550563523647
1943-08-01,-0.3204066656031249
1943-09-01,-1.470350058569418
1943-10-01,-3.199843392587027
1943-11-01,-3.881279904477399
1943-12-01,-1.5750489263161438
1944-01-01,-1.2492405423716466
1944-02-01,-1.0098580755680242
1944-03-01,-0.45619237062383544
1944-04-01,-0.03545485366790857
1944-05-01,1.88613392675733
1944-06-01,0.3773114988908519
1944-07-01,0.031290890047139475
1944-08-01,0.9161321087272629
1944-09-01,0.8622707029999728
1944-10-01,0.777378747952374
1944-11-01,0.07777907963105457
1944-12-01,-0.2882906652261912
1945-01-01,-0.38364339038166806
1945-02-01,-0.0017559132710436298
1945-03-01,-0.27984599299609847
1945-04-01,-0.613980269214445
1945-05-01,0.044501843162337525
1945-06-01,2.6774845569822823
1945-07-01,3.183563316800666
1945-08-01,2.4343480400223796
1945-09-01,1.6656199956432576
1945-10-01,-0.7199158009007564
1945-11-01,-0.5359915625065316
1945-12-01,-1.2620910468150648
1946-01-01,0.5245541496317035
1946-02-01,0.04736902895163497
1946-03-01,0.5805153471638365
1946-04-01,0.41514245756888113
1946-05-01,1.0811134871791515
1946-06-01,0.9335971358879601
1946-07-01,0.795212587536978
1946-08-01,1.5065897077554888
1946-09-01,1.2493705905906731
1946-10-01,0.9857102685603153
1946-11-01,1.3824773461157123
1946-12-01,0.19665666967076334
1947-01-01,0.6910383835262901
1947-02-01,1.6156418156424017
1947-03-01,1.4791847829916192
1947-04-01,1.5506922601810964
1947-05-01,1.752499628591517
1947-06-01,1.2046889858991985
1947-07-01,0.08269788143708301
1947-08-01,-0.009404324487539362
1947-09-01,-0.8546789674061315
1947-10-01,-0.3373659816283592
1947-11-01,0.6160845744997417
1947-12-01,0.9081813605991186
1948-01-01,0.010563671701984856
1948-02-01,0.2016731680080798
1948-03-01,0.6446877666611475
1948-04-01,0.3560987877105747
1948-05-01,0.36155389471037624
1948-06-01,0.7771980711550373
1948-07-01,0.48730970131756646
1948-08-01,0.2513288263829402
1948-09-01,-0.1338258984284778
1948-10-01,0.5208329452435825
1948-11-01,0.4304514694470244
1948-12-01,-0.676372760600223
1949-01-01,-0.018554861965228597
1949-02-01,1.0131464649762651
1949-03-01,0.5443979792082924
1949-04-01,0.6726748301041687
1949-05-01,-0.1368812760858994
1949-06-01,0.7461939377196515
1949-07-01,0.7557651771589068
1949-08-01,1.010229028006127
1949-09-01,1.0279508996819775
1949-10-01,1.0889586051703355
1949-11-01,0.1944923316493805
1949-12-01,-0.2587687605211473
1950-01-01,0.3400671152700788
1950-02-01,-0.9120228440203073
1950-03-01,-0.46528987813622863
1950-04-01,-0.023773364710660494
1950-05-01,0.34634563047180733
1950-06-01,0.08393760131665629
1950-07-01,0.1613079189730171
1950-08-01,0.11379870242120349
1950-09-01,-0.34648038742430176
1950-10-01,-0.49718254130230655
1950-11-01,-0.3662691411798775
1950-12-01,0.1841835722335201
1951-01-01,0.019520402936649806
1951-02-01,0.9846958489384329
1951-03-01,0.5626462354819107
1951-04-01,-0.24336184583496268
1951-05-01,0.5586612642991241
1951-06-01,0.1493909623571673
1951-07-01,-0.19822926279125497
1951-08-01,-0.10119984724828346
1951-09-01,0.38558516113051544
1951-10-01,0.11679380631396497
1951-11-01,1.0562682757063206
1951-12-01,0.6538703264536706
1952-01-01,0.547352049277898
1952-02-01,0.8431526176702098
1952-03-01,0.7533760209757792
1952-04-01,1.0948594972447052
1952-05-01,0.357767542359656
1952-06-01,-0.4580447908164539
1952-07-01,-0.650666299508859
1952-08-01,-0.8081359973880927
1952-09-01,-0.8231026747719921
1952-10-01,-1.0956226047076303
1952-11-01,0.1797397224146292
1952-12-01,0.5960242100181128
1953-01-01,1.2801084524364883
1953-02-01,1.1327491978028952
1953-03-01,0.9320066517799787
1953-04-01,0.08725019568372237
1953-05-01,1.4529257275533887
1953-06-01,0.7182700668890885
1953-07-01,-0.0024984913180198243
1953-08-01,0.2069151874471295
1953-09-01,0.5359092954786918
1953-10-01,-0.022075289134936726
1953-11-01,0.3232942695152785
