,east,west,dmi
1946-01-01,-0.4209220872771706,0.10363206235453294,0.5245541496317035
1946-02-01,-0.39402353548278785,-0.3466545065311529,0.04736902895163497
1946-03-01,-0.3357861707303068,0.24472917643352965,0.5805153471638365
1946-04-01,0.11713865085622924,0.5322811084251103,0.41514245756888113
1946-05-01,-0.6917731694937217,0.38934031768542976,1.0811134871791515
1946-06-01,-1.0136708904941059,-0.08007375460614578,0.9335971358879601
1946-07-01,-1.0394178594040973,-0.2442052718671193,0.795212587536978
1946-08-01,-1.6503434893067808,-0.14375378155129193,1.5065897077554888
1946-09-01,-1.7011416286260876,-0.4517710380354145,1.2493705905906731
1946-10-01,-1.1236094779857606,-0.13789920942544528,0.9857102685603153
1946-11-01,-1.5455955101424599,-0.1631181640267475,1.3824773461157123
1946-12-01,-0.8632584072898476,-0.6666017376190843,0.19665666967076334
1947-01-01,-0.6300252952326076,0.061013088293682516,0.6910383835262901
1947-02-01,-1.5332178124240086,0.08242400321839308,1.6156418156424017
1947-03-01,-1.6590276364476086,-0.17984285345598955,1.4791847829916192
1947-04-01,-1.64885612909715,-0.09816386891605346,1.5506922601810964
1947-05-01,-1.634337699406238,0.11816192918527908,1.752499628591517
1947-06-01,-1.5461385723868901,-0.3414495864876917,1.2046889858991985
1947-07-01,-0.9803234745471262,-0.8976255931100432,0.08269788143708301
1947-08-01,-0.9286646785457996,-0.938069003033339,-0.009404324487539362
1947-09-01,-0.5412188597658063,-1.3958978271719378,-0.8546789674061315
1947-10-01,-1.1190637560736862,-1.4564297377020454,-0.3373659816283592
1947-11-01,-1.566796757140377,-0.9507121826406352,0.6160845744997417
1947-12-01,-1.4150726816404213,-0.5068913210413027,0.9081813605991186
1948-01-01,-0.4323409407203024,-0.4217772690183175,0.010563671701984856
1948-02-01,-0.3493299976432694,-0.14765682963518958,0.2016731680080798
1948-03-01,-0.8273423554144186,-0.18265458875327112,0.6446877666611475
1948-04-01,-0.9259408819760837,-0.569842094265509,0.3560987877105747
1948-05-01,-0.992045376117729,-0.6304914814073528,0.36155389471037624
1948-06-01,-0.9690864499804768,-0.1918883788254395,0.7771980711550373
1948-07-01,-0.8974458726461797,-0.41013617132861324,0.48730970131756646
1948-08-01,-0.7660005656441176,-0.5146717392611774,0.2513288263829402
1948-09-01,-0.9252414468978784,-1.0590673453263562,-0.1338258984284778
1948-10-01,-1.0669152342983643,-0.5460822890547818,0.5208329452435825
1948-11-01,-1.1155702172601922,-0.6851187478131678,0.4304514694470244
1948-12-01,0.09741627872037484,-0.5789564818798482,-0.676372760600223
1949-01-01,-0.8096722251978001,-0.8282270871630287,-0.018554861965228597
1949-02-01,-1.3983371518489276,-0.3851906868726624,1.0131464649762651
1949-03-01,-0.9313848385379851,-0.3869868593296928,0.5443979792082924
1949-04-01,-1.0596578377416734,-0.38698300763750465,0.6726748301041687
1949-05-01,-0.773705261236956,-0.9105865373228554,-0.1368812760858994
1949-06-01,-0.9351935474040481,-0.18899960968439664,0.7461939377196515
1949-07-01,-1.0177074915520286,-0.26194231439312177,0.7557651771589068
1949-08-01,-1.4356763177309648,-0.42544728972483775,1.010229028006127
1949-09-01,-1.3877050113447118,-0.3597541116627342,1.0279508996819775
1949-10-01,-1.1460107955684649,-0.05705219039812942,1.0889586051703355
1949-11-01,-0.9030486264268749,-0.7085562947774944,0.1944923316493805
1949-12-01,-0.6819386516610113,-0.9407074121821586,-0.2587687605211473
1950-01-01,-0.8869858634783672,-0.5469187482082883,0.3400671152700788
1950-02-01,0.06123960545531915,-0.8507832385649882,-0.9120228440203073
1950-03-01,-0.3294948916039954,-0.794784769740224,-0.46528987813622863
1950-04-01,-0.675235227081339,-0.6990085917919995,-0.023773364710660494
